           0.9607349E+04           0.0000000E+00           0.1497079E+12           0.0000000E+00           0.2993080E+12           0.0000000E+00
           0.2880958E+05           0.0000000E+00           0.1498158E+12           0.0000000E+00           0.2994159E+12           0.0000000E+00
           0.5759428E+05           0.0000000E+00           0.1499236E+12           0.0000000E+00           0.2995238E+12           0.0000000E+00
           0.9594903E+05           0.0000000E+00           0.1500313E+12           0.0000000E+00           0.2996317E+12           0.0000000E+00
           0.1438615E+06           0.0000000E+00           0.1501390E+12           0.0000000E+00           0.2997396E+12           0.0000000E+00
           0.2013193E+06           0.0000000E+00           0.1502465E+12           0.0000000E+00           0.2998474E+12           0.0000000E+00
           0.2683102E+06           0.0000000E+00           0.1503541E+12           0.0000000E+00           0.2999552E+12           0.0000000E+00
           0.3448219E+06           0.0000000E+00           0.1504615E+12           0.0000000E+00           0.3000630E+12           0.0000000E+00
           0.4308422E+06           0.0000000E+00           0.1505689E+12           0.0000000E+00           0.3001708E+12           0.0000000E+00
           0.5263589E+06           0.0000000E+00           0.1506762E+12           0.0000000E+00           0.3002785E+12           0.0000000E+00
           0.6313599E+06           0.0000000E+00           0.1507835E+12           0.0000000E+00           0.3003862E+12           0.0000000E+00
           0.7458329E+06           0.0000000E+00           0.1508906E+12           0.0000000E+00           0.3004939E+12           0.0000000E+00
           0.8697659E+06           0.0000000E+00           0.1509977E+12           0.0000000E+00           0.3006015E+12           0.0000000E+00
           0.1003147E+07           0.0000000E+00           0.1511048E+12           0.0000000E+00           0.3007092E+12           0.0000000E+00
           0.1145964E+07           0.0000000E+00           0.1512118E+12           0.0000000E+00           0.3008168E+12           0.0000000E+00
           0.1298205E+07           0.0000000E+00           0.1513187E+12           0.0000000E+00           0.3009243E+12           0.0000000E+00
           0.1459857E+07           0.0000000E+00           0.1514255E+12           0.0000000E+00           0.3010319E+12           0.0000000E+00
           0.1630910E+07           0.0000000E+00           0.1515323E+12           0.0000000E+00           0.3011394E+12           0.0000000E+00
           0.1811351E+07           0.0000000E+00           0.1516390E+12           0.0000000E+00           0.3012469E+12           0.0000000E+00
           0.2001168E+07           0.0000000E+00           0.1517456E+12           0.0000000E+00           0.3013544E+12           0.0000000E+00
           0.2200349E+07           0.0000000E+00           0.1518522E+12           0.0000000E+00           0.3014618E+12           0.0000000E+00
           0.2408883E+07           0.0000000E+00           0.1519587E+12           0.0000000E+00           0.3015692E+12           0.0000000E+00
