   0.00000000       1.00000000     -0.100000001      0.504999995    
  0.100000001      0.990000010     -0.200000003      0.510049999    
  0.200000003      0.970000029     -0.298999995      0.515150487    
  0.300000012      0.940100014     -0.395999998      0.520302057    
  0.400000006      0.900500000     -0.490009993      0.525505006    
  0.500000000      0.851499021     -0.580060005      0.530760109    
  0.600000024      0.793493032     -0.665209889      0.536067724    
  0.700000048      0.726972044     -0.744559169      0.541428328    
  0.800000072      0.652516127     -0.817256391      0.546842635    
  0.900000095      0.570790470     -0.882507980      0.552311063    
   1.00000012      0.482539654     -0.939586997      0.557834089    
   1.10000014      0.388580948     -0.987840950      0.563412428    
   1.20000017      0.289796859      -1.02669907      0.569046617    
   1.30000019      0.187126949      -1.05567873      0.574737072    
   1.40000021       8.15590769E-02  -1.07439137      0.580484331    
   1.50000024      -2.58800611E-02  -1.08254731      0.586289227    
   1.60000026     -0.134134799      -1.07995927      0.592152059    
   1.70000029     -0.242130727      -1.06654584      0.598073661    
   1.80000031     -0.348785311      -1.04233277      0.604054391    
   1.90000033     -0.453018606      -1.00745428      0.610094965    
   2.00000024     -0.553764045     -0.962152421      0.616195917    
   2.10000014     -0.649979293     -0.906776011      0.622357905    
   2.20000005     -0.740656912     -0.841778100      0.628581524    
   2.29999995     -0.824834704     -0.767712414      0.634867311    
   2.39999986     -0.901605964     -0.685228944      0.641216040    
   2.49999976     -0.970128834     -0.595068336      0.647628129    
   2.59999967      -1.02963567     -0.498055458      0.654104412    
   2.69999957      -1.07944119     -0.395091891      0.660645485    
   2.79999948      -1.11895037     -0.287147760      0.667251885    
   2.89999938      -1.14766514     -0.175252721      0.673924446    
   2.99999928      -1.16519046      -6.04862049E-02  0.680663645    
   3.09999919      -1.17123914       5.60328439E-02  0.687470436    
   3.19999909      -1.16563582      0.173156768      0.694345057    
   3.29999900      -1.14832020      0.289720356      0.701288581    
   3.39999890      -1.11934817      0.404552370      0.708301485    
   3.49999881      -1.07889295      0.516487181      0.715384543    
   3.59999871      -1.02724421      0.624376476      0.722538292    
